term_text,term_category,is_scam
官方網站,查詢/聯繫,FALSE
客服電話,查詢/聯繫,FALSE
服務時間,查詢/聯繫,FALSE
立即查詢,查詢/聯繫,FALSE
聯絡我們,查詢/聯繫,FALSE
線上客服,查詢/聯繫,FALSE
專人服務,服務/提醒,FALSE
服務專線,查詢/聯繫,FALSE
訂單已成立,購物/交易,FALSE
訂單編號,購物/交易,FALSE
已扣款,金融/交易,FALSE
交易成功,金融/交易,FALSE
刷卡消費,金融/交易,FALSE
密碼變更通知,帳號/安全,FALSE
網路銀行,金融/服務,FALSE
帳單已寄出,帳務/通知,FALSE
繳款截止日,帳務/通知,FALSE
餘額不足,金融/交易,FALSE
分期設定,金融/服務,FALSE
信用卡明細,金融/交易,FALSE
重新核發,金融/服務,FALSE
簽帳金融卡,金融/服務,FALSE
綁定成功,帳號/安全,FALSE
門市取貨,物流/服務,FALSE
包裹已到,物流/服務,FALSE
貨件編號,物流/服務,FALSE
宅配人員,物流/服務,FALSE
重新配送,物流/服務,FALSE
已出貨,物流/服務,FALSE
運送中,物流/服務,FALSE
超商取貨,物流/服務,FALSE
預計送達,物流/服務,FALSE
退貨申請,物流/服務,FALSE
運費,物流/服務,FALSE
門診時間,醫療/服務,FALSE
健保署,政府/機構,FALSE
繳費通知,帳務/通知,FALSE
臨櫃辦理,服務/提醒,FALSE
系統維護,服務/通知,FALSE
資料更新,服務/通知,FALSE
官方公告,政府/機構,FALSE
戶政事務所,政府/機構,FALSE
掛號通知,醫療/服務,FALSE
水費,帳務/通知,FALSE
電費,帳務/通知,FALSE
優惠活動,會員/活動,FALSE
會員點數,會員/活動,FALSE
折價券,會員/活動,FALSE
專屬折扣,會員/活動,FALSE
訂閱服務,會員/活動,FALSE
立即結帳,購物/交易,FALSE
退貨政策,購物/交易,FALSE
購物金,會員/活動,FALSE
適用期限,會員/活動,FALSE
專屬禮遇,會員/活動,FALSE
會員等級,會員/活動,FALSE
累積消費,會員/活動,FALSE
登出,帳號/安全,FALSE
帳號密碼,帳號/安全,FALSE
完成設定,服務/通知,FALSE
錯誤代碼,服務/通知,FALSE
歡迎使用,服務/通知,FALSE
您的代碼,服務/通知,FALSE
最新消息,服務/通知,FALSE
詳細資訊,查詢/聯繫,FALSE
附件,訊息內容,FALSE
請查收,訊息內容,FALSE
感謝您的,訊息內容,FALSE
謝謝您的支持,訊息內容,FALSE
專線,查詢/聯繫,FALSE
參考文件,訊息內容,FALSE
點擊確認,服務/通知,FALSE
線上申請,服務/通知,FALSE
已審核,服務/通知,FALSE
立即啟用,服務/通知,FALSE
報稅,政府/機構,FALSE
罰鍰,政府/機構,FALSE
醫院,醫療/服務,FALSE
門診,醫療/服務,FALSE
預約成功,服務/通知,FALSE
檢查報告,醫療/服務,FALSE
領藥,醫療/服務,FALSE
退款已完成,金融/交易,FALSE
扣款失敗,金融/交易,FALSE
補件,服務/通知,FALSE
點擊查閱,查詢/聯繫,FALSE
訊息通知,服務/通知,FALSE
啟用,服務/通知,FALSE
領取,服務/通知,FALSE
相關規定,查詢/聯繫,FALSE
專員,服務/聯繫,FALSE
會員服務,服務/聯繫,FALSE
帳務查詢,帳務/通知,FALSE
請勿上當,安全/提醒,FALSE
密碼錯誤,帳號/安全,FALSE
正確資訊,查詢/聯繫,FALSE