詐騙編號,詐騙分類,詐騙詞彙
1,假冒機構詐騙,您的健保卡已停卡
2,假冒機構詐騙,涉嫌洗錢
3,假冒機構詐騙,我們是地檢署
4,假冒機構詐騙,監管您的帳戶
5,假冒機構詐騙,偵查不公開
6,假冒機構詐騙,電話將轉接給檢察官
7,假冒機構詐騙,您的包裹有違禁品
8,假冒機構詐騙,資金凍結
9,假冒機構詐騙,刑事警察局
10,假冒機構詐騙,偽造的傳票
11,假冒機構詐騙,資金清查
12,假冒機構詐騙,電話製作筆錄
13,假冒機構詐騙,交付保證金
14,假冒機構詐騙,查封名下所有財產
15,假冒機構詐騙,您是人頭戶
16,假冒機構詐騙,配合調查
17,假冒機構詐騙,掛斷電話視為共犯
18,假冒機構詐騙,戶政事務所
19,假冒機構詐騙,您的身分被冒用
20,假冒機構詐騙,網路電信局
21,假冒機構詐騙,電話費欠繳
22,假冒機構詐騙,金管會
23,假冒機構詐騙,證明您的清白
24,假冒機構詐騙,提供帳戶讓我們監管
25,假冒機構詐騙,派員收款
26,假冒機構詐騙,書記官
27,假冒機構詐騙,法院專線
28,假冒機構詐騙,帳戶涉及詐欺
29,假冒機構詐騙,衛生局
30,假冒機構詐騙,違反防疫規定
31,假冒機構詐騙,監聽您的電話
32,假冒機構詐騙,您被通緝了
33,假冒機構詐騙,司法調查
34,假冒機構詐騙,國稅局
35,假冒機構詐騙,欠繳稅款
36,假冒機構詐騙,執行官
37,假冒機構詐騙,網內互打免費
38,假冒機構詐騙,不要告訴任何人
39,假冒機構詐騙,假公文
40,假冒機構詐騙,保持通話
41,假愛情交友詐騙,戰地軍官
42,假愛情交友詐騙,跨國醫生
43,假愛情交友詐騙,海外石油工程師
44,假愛情交友詐騙,widowed (喪偶)
45,假愛情交友詐騙,甜言蜜語
46,假愛情交友詐騙,從未視訊
47,假愛情交友詐騙,包裹卡在海關
48,假愛情交友詐騙,支付關稅
49,假愛情交友詐騙,一起投資虛擬貨幣
50,假愛情交友詐騙,我帶你賺錢
51,假愛情交友詐騙,共創我們的未來
52,假愛情交友詐騙,盜用網路帥哥美女照
53,假愛情交友詐騙,家人生病需要錢
54,假愛情交友詐騙,老公/老婆
55,假愛情交友詐騙,需要資金周轉
56,假愛情交友詐騙,購買機票來見你
57,假愛情交友詐騙,繼承大筆遺產
58,假愛情交友詐騙,交友軟體認識
59,假愛情交友詐騙,幫我代收貨款
60,假愛情交友詐騙,我的帳戶被凍結
61,假愛情交友詐騙,賭博網站有漏洞
62,假愛情交友詐騙,寄送禮物給你
63,假愛情交友詐騙,聯合國維和部隊
64,假愛情交友詐騙,購買禮物卡
65,假愛情交友詐騙,索取私密照
66,假愛情交友詐騙,合夥投資生意
67,假愛情交友詐騙,我很孤單
68,假愛情交友詐騙,退休金被扣押
69,假愛情交友詐騙,戰亂地區
70,假愛情交友詐騙,只用訊息溝通
71,假愛情交友詐騙,迅速墜入愛河
72,假愛情交友詐騙,國際快遞
73,假愛情交友詐騙,幫我保管錢
74,假愛情交友詐騙,情感勒索
75,假愛情交友詐騙,認識不久就借錢
76,假愛情交友詐騙,投資黃金
77,假愛情交友詐騙,高階主管
78,假愛情交友詐騙,穩定交往後詐騙
79,假愛情交友詐騙,我很想你
80,假愛情交友詐騙,幫我一個小忙
81,假投資詐騙,穩賺不賠
82,假投資詐騙,保證獲利
83,假投資詐騙,加入LINE投資群組
84,假投資詐騙,投資老師
85,假投資詐騙,飆股
86,假投資詐騙,無法出金
87,假投資詐騙,需繳納保證金
88,假投資詐騙,內線消息
89,假投資詐騙,代客操作
90,假投資詐騙,假冒的投資APP
91,假投資詐騙,獲利截圖
92,假投資詐騙,需繳交稅金才能領回
93,假投資詐騙,虛擬貨幣
94,假投資詐騙,USDT (泰達幣)
95,假投資詐騙,抽中未上市股票
96,假投資詐騙,助理
97,假投資詐騙,平台維護中
98,假投資詐騙,帳戶遭凍結
99,假投資詐騙,需升級VIP會員
100,假投資詐騙,財富自由
101,假投資詐騙,被動收入
102,假投資詐騙,AI智能交易
103,假投資詐騙,量化交易
104,假投資詐騙,外匯保證金
105,假投資詐騙,期貨交易
106,假投資詐騙,數據有誤
107,假投資詐騙,投入更多資金解鎖
108,假投資詐騙,龐氏騙局
109,假投資詐騙,學員見證
110,假投資詐騙,報明牌
111,假投資詐騙,股票交流群
112,假投資詐騙,每日返利
113,假投資詐騙,零風險套利
114,假投資詐騙,搬磚
115,假投資詐騙,ICO (首次代幣發行)
116,假投資詐騙,NFT投資
117,假投資詐騙,礦機
118,假投資詐騙,跟單操作
119,假投資詐騙,假投顧
120,假投資詐騙,掌握財富密碼
121,假投資詐騙,快速致富
122,假投資詐騙,鎖倉
123,假投資詐騙,質押挖礦
124,假投資詐騙,假交易所
125,假投資詐騙,老師帶你飛
126,假網路拍賣詐騙,一頁式廣告
127,假網路拍賣詐騙,貨到付款
128,假網路拍賣詐騙,幽靈包裹
129,假網路拍賣詐騙,商品與照片不符
130,假網路拍賣詐騙,價格遠低於市價
131,假網路拍賣詐騙,限時搶購
132,假網路拍賣詐騙,臉書廣告
133,假網路拍賣詐騙,倒數計時
134,假網路拍賣詐騙,免運費
135,假網路拍賣詐騙,聯繫不上賣家
136,假網路拍賣詐騙,無法退貨
137,假網路拍賣詐騙,要求用LINE私下交易
138,假網路拍賣詐騙,盜用名人推薦
139,假網路拍賣詐騙,評價造假
140,假網路拍賣詐騙,劣質仿冒品
141,假網路拍賣詐騙,海外出貨
142,假網路拍賣詐騙,清倉大拍賣
143,假網路拍賣詐騙,假客服
144,假網路拍賣詐騙,限量商品
145,假網路拍賣詐騙,團購主
146,假網路拍賣詐騙,假冒官方網站
147,假網路拍賣詐騙,超商取貨付款
148,假網路拍賣詐騙,網紅推薦
149,假網路拍賣詐騙,贈品
150,假網路拍賣詐騙,聯絡方式不明
151,假網路拍賣詐騙,語法不通順
152,假網路拍賣詐騙,使用簡體字
153,假網路拍賣詐騙,無實體店面
154,假網路拍賣詐騙,評論不實
155,假網路拍賣詐騙,先匯款後出貨
156,假網路拍賣詐騙,交易平台外溝通
157,假網路拍賣詐騙,假抽獎活動
158,假網路拍賣詐騙,代購
159,假網路拍賣詐騙,FB Marketplace
160,假網路拍賣詐騙,Instagram 購物
161,假網路拍賣詐騙,零元商品
162,假網路拍賣詐騙,貨物寄送中 (假查詢網站)
163,假網路拍賣詐騙,盜用圖片
164,假網路拍賣詐騙,拒絕面交
165,假網路拍賣詐騙,全球唯一
166,求職詐騙,海外高薪工作
167,求職詐騙,免經驗、高抽成
168,求職詐騙,寄送存摺提款卡
169,求職詐騙,繳交保證金
170,求職詐騙,刷單賺佣金
171,求職詐騙,人頭帳戶
172,求職詐騙,辦理貸款以美化財力
173,求職詐騙,繳交治裝費
174,求職詐騙,家庭代工
175,求職詐騙,點讚員
176,求職詐騙,打字員
177,求職詐騙,公司地址不明
178,求職詐騙,薪資高得不合理
179,求職詐騙,扣押身分證件
180,求職詐騙,提供帳戶密碼
181,求職詐騙,網路博弈客服
182,求職詐騙,柬埔寨
183,求職詐騙,緬甸KK園區
184,求職詐騙,錄取太輕易
185,求職詐騙,繳交訓練費
186,求職詐騙,購買公司產品
187,求職詐騙,簽署不合理合約
188,求職詐騙,在家工作
189,求職詐騙,兼職
190,求職詐騙,財務助理
191,求職詐騙,幫忙領錢
192,求職詐騙,租借帳戶
193,求職詐騙,輕鬆賺錢
194,求職詐騙,模特兒/演員
195,求職詐騙,試玩員
196,求職詐騙,面試地點在咖啡廳
197,求職詐騙,人事主管
198,求職詐騙,介紹朋友有獎金
199,求職詐騙,職位描述模糊
200,求職詐騙,只限線上應徵
201,網路釣魚詐騙,您的包裹已到站，請點此連結
202,網路釣魚詐騙,積分即將到期，請立即兌換
203,網路釣魚詐騙,eTag欠費通知
204,網路釣魚詐騙,帳號異常登入
205,網路釣魚詐騙,銀行帳戶已凍結
206,網路釣魚詐騙,汽燃費未繳
207,網路釣魚詐騙,罰單通知
208,網路釣魚詐騙,水電費尚未繳納
209,網路釣魚詐騙,請更新您的資料
210,網路釣魚詐騙,驗證您的身分
211,網路釣魚詐騙,好友輔助驗證
212,網路釣魚詐騙,掃描QR Code
213,網路釣魚詐騙,您的發票中獎了
214,網路釣魚詐騙,假冒的官方郵件
215,網路釣魚詐騙,假冒的釣魚簡訊
216,網路釣魚詐騙,系統升級
217,網路釣魚詐騙,信用卡異常消費
218,網路釣魚詐騙,帳號停權通知
219,網路釣魚詐騙,違反社群守則
220,網路釣魚詐騙,查看物流狀態
221,網路釣魚詐騙,補繳關稅
222,網路釣魚詐騙,遠端控制軟體
223,網路釣魚詐騙,共享螢幕
224,網路釣魚詐騙,要求提供驗證碼
225,網路釣魚詐騙,"網址拼寫錯誤 (e.g., Goog1e)"
226,網路釣魚詐騙,假問卷調查
227,網路釣魚詐騙,填資料領贈品
228,網路釣魚詐騙,您的手機中毒了
229,網路釣魚詐騙,幣安帳戶驗證
230,網路釣魚詐騙,立即處理，否則…
231,網路釣魚詐騙,臉書擴充功能
232,網路釣魚詐騙,"假冒串流平台 (Netflix, Disney+)"
233,網路釣魚詐騙,網路民調
234,網路釣魚詐騙,點讚賺錢
235,網路釣魚詐騙,緊急通知
236,網路釣魚詐騙,優惠活動
237,網路釣魚詐騙,訂閱已取消
238,網路釣魚詐騙,密碼即將過期
239,網路釣魚詐騙,非官方應用程式 (APK)
240,網路釣魚詐騙,您的帳戶有安全風險
241,解除分期付款詐騙,工作人員操作錯誤
242,解除分期付款詐騙,誤設為VIP會員
243,解除分期付款詐騙,簽成批發商
244,解除分期付款詐騙,誤刷成12期
245,解除分期付款詐騙,請至ATM操作解除
246,解除分期付款詐騙,操作網路銀行
247,解除分期付款詐騙,假冒銀行客服
248,解除分期付款詐騙,假冒購物網站客服
249,解除分期付款詐騙,+886開頭的電話
250,解除分期付款詐騙,系統錯誤
251,解除分期付款詐騙,重複扣款
252,解除分期付款詐騙,提供信用卡背面的銀行電話
253,解除分期付款詐騙,購買遊戲點數沖銷
254,解除分期付款詐騙,這是為您好
255,解除分期付款詐騙,資料外洩
256,解除分期付款詐騙,訂單有誤
257,解除分期付款詐騙,核對身分
258,解除分期付款詐騙,輸入代碼
259,解除分期付款詐騙,將錢轉到安全帳戶
260,解除分期付款詐騙,辦理退款
261,解除分期付款詐騙,不要掛斷電話
262,解除分期付款詐騙,晚上12點扣款截止
263,解除分期付款詐騙,辨識碼
264,解除分期付款詐騙,回傳交易明細
265,解除分期付款詐騙,按步驟操作
266,解除分期付款詐騙,會計人員疏失
267,解除分期付款詐騙,唯一解決方法
268,解除分期付款詐騙,系統被駭
269,解除分期付款詐騙,賠償方案
270,解除分期付款詐騙,感謝您的配合
271,親友借貸詐騙,我換LINE了
272,親友借貸詐騙,手機送修，用舊手機登入
273,親友借貸詐騙,幫我收個簡訊驗證碼
274,親友借貸詐騙,借錢應急
275,親友借貸詐騙,猜猜我是誰
276,親友借貸詐騙,這是我的新號碼
277,親友借貸詐騙,帳號被盜
278,親友借貸詐騙,幫我買遊戲點數
279,親友借貸詐騙,晚點就還你
280,親友借貸詐騙,家裡出事了
281,親友借貸詐騙,假冒的頭像和暱稱
282,親友借貸詐騙,不方便講電話
283,親友借貸詐騙,模仿語氣
284,親友借貸詐騙,我是你的老朋友
285,親友借貸詐騙,匯款到這個帳戶
286,親友借貸詐騙,輔助認證
287,親友借貸詐騙,發生意外
288,親友借貸詐騙,臉書 Messenger 私訊
289,親友借貸詐騙,Instagram 私訊
290,親友借貸詐騙,真的很急
291,親友借貸詐騙,假冒老闆/主管
292,親友借貸詐騙,廠商需要急款
293,親友借貸詐騙,團購付款
294,親友借貸詐騙,先不要跟別人說
295,親友借貸詐騙,裝熟
296,親友借貸詐騙,代繳費用
297,親友借貸詐騙,朋友開店，幫忙匯款
298,親友借貸詐騙,換手機，通訊錄沒了
299,親友借貸詐騙,投資周轉不靈
300,親友借貸詐騙,拜託了
301,遊戲點數/虛擬寶物詐騙,私下交易
302,遊戲點數/虛擬寶物詐騙,低價出售裝備/虛寶
303,遊戲點數/虛擬寶物詐騙,帳號代練
304,遊戲點數/虛擬寶物詐騙,購買點數證明非機器人
305,遊戲點數/虛擬寶物詐騙,提供帳號密碼
306,遊戲點數/虛擬寶物詐騙,遊戲ID遭鎖定
307,遊戲點數/虛擬寶物詐騙,假冒遊戲官方人員
308,遊戲點數/虛擬寶物詐騙,假冒交易平台 (8591)
309,遊戲點數/虛擬寶物詐騙,儲值回饋活動
310,遊戲點數/虛擬寶物詐騙,點數卡
311,遊戲點數/虛擬寶物詐騙,虛寶交易
312,遊戲點數/虛擬寶物詐騙,遊戲幣
313,遊戲點數/虛擬寶物詐騙,先給錢後給貨
314,遊戲點數/虛擬寶物詐騙,假冒玩家
315,遊戲點數/虛擬寶物詐騙,帳號被盜
316,遊戲點數/虛擬寶物詐騙,協助解鎖
317,遊戲點數/虛擬寶物詐騙,遊戲公會
318,遊戲點數/虛擬寶物詐騙,退坑出售帳號
319,遊戲點數/虛擬寶物詐騙,遊戲外掛
320,遊戲點數/虛擬寶物詐騙,假冒遊戲客服
321,遊戲點數/虛擬寶物詐騙,提供驗證碼
322,遊戲點數/虛擬寶物詐騙,便宜代儲
323,遊戲點數/虛擬寶物詐騙,網路交友要求買點數
324,遊戲點數/虛擬寶物詐騙,永久停權
325,遊戲點數/虛擬寶物詐騙,送虛寶
326,遊戲點數/虛擬寶物詐騙,遊戲直播
327,遊戲點數/虛擬寶物詐騙,騙取信任
328,遊戲點數/虛擬寶物詐騙,遊戲婚姻
329,遊戲點數/虛擬寶物詐騙,違反遊戲規章
330,遊戲點數/虛擬寶物詐騙,點擊不明連結
331,中獎/領獎詐騙,恭喜您中獎
332,中獎/領獎詐騙,需先支付手續費
333,中獎/領獎詐騙,繳納稅金
334,中獎/領獎詐騙,提供個人資料
335,中獎/領獎詐騙,律師見證
336,中獎/領獎詐騙,活動已截止，需付費保留
337,中獎/領獎詐騙,海外獎項
338,中獎/領獎詐騙,刮刮樂
339,中獎/領獎詐騙,幸運得主
340,中獎/領獎詐騙,公司週年慶
341,中獎/領獎詐騙,公證費
342,中獎/領獎詐騙,郵寄費用
343,中獎/領獎詐騙,點擊連結領取
344,中獎/領獎詐騙,假冒知名品牌
345,中獎/領獎詐騙,領獎專線
346,中獎/領獎詐騙,提供銀行帳戶
347,中獎/領獎詐騙,逾期不候
348,中獎/領獎詐騙,"頭獎 (iPhone, 名車)"
349,中獎/領獎詐騙,免費機票
350,中獎/領獎詐騙,帳戶錯誤，獎金被凍結
351,中獎/領獎詐騙,保險費
352,中獎/領獎詐騙,身份驗證費
353,中獎/領獎詐騙,最後機會
354,中獎/領獎詐騙,電視購物
355,中獎/領獎詐騙,隨機抽樣
356,中獎/領獎詐騙,抽獎活動
357,中獎/領獎詐騙,廣告簡訊
358,中獎/領獎詐騙,核對身分
359,中獎/領獎詐騙,電子郵件通知
360,中獎/領獎詐騙,慈善機構捐款
361,貸款/融資詐騙,免保人、免徵信
362,貸款/融資詐騙,保證過件
363,貸款/融資詐騙,快速放款
364,貸款/融資詐騙,證件借款
365,貸款/融資詐騙,需先繳納手續費
366,貸款/融資詐騙,美化信用紀錄
367,貸款/融資詐騙,假冒銀行
368,貸款/融資詐騙,利率極低
369,貸款/融資詐騙,信用瑕疵可辦
370,貸款/融資詐騙,寄送存摺提款卡
371,貸款/融資詐騙,代辦公司
372,貸款/融資詐騙,網路貸款
373,貸款/融資詐騙,律師費
374,貸款/融資詐騙,資金包裝
375,貸款/融資詐騙,製造金流
376,貸款/融資詐騙,債務整合
377,貸款/融資詐騙,帳戶凍結，需保證金解凍
378,貸款/融資詐騙,無實體公司
379,貸款/融資詐騙,簡訊廣告
380,貸款/融資詐騙,臉書社團
381,貸款/融資詐騙,LINE聯繫
382,貸款/融資詐騙,提供帳戶密碼
383,貸款/融資詐騙,簽訂不平等合約
384,貸款/融資詐騙,當日放款
385,貸款/融資詐騙,資料填寫錯誤
386,貸款/融資詐騙,高利貸
387,貸款/融資詐騙,撥款失敗
388,貸款/融資詐騙,投資型貸款
389,貸款/融資詐騙,只需身分證
390,貸款/融資詐騙,小額借款
391,色情應召詐騙,要求先買遊戲點數
392,色情應召詐騙,驗證你不是警察
393,色情應召詐騙,繳交保證金
394,色情應召詐騙,哥哥，這是我們的規矩
395,色情應召詐騙,不配合的話找兄弟處理
396,色情應召詐騙,你是不是在玩我？
397,色情應召詐騙,約在超商/捷運站見面
398,色情應召詐騙,車馬費
399,色情應召詐騙,LINE約砲
400,色情應召詐騙,你點的妹妹出事了
401,色情應召詐騙,妨礙風化
402,色情應召詐騙,我們有你的資料
403,色情應召詐騙,黑道威脅
404,色情應召詐騙,假茶莊
405,色情應召詐騙,入會費
406,色情應召詐騙,健康檢查費
407,色情應召詐騙,酒店公關
408,色情應召詐騙,按摩
409,色情應召詐騙,辦活動
410,色情應召詐騙,你這樣我會很難做
411,比特幣/加密貨幣詐騙,搬磚套利
412,比特幣/加密貨幣詐騙,流動性挖礦
413,比特幣/加密貨幣詐騙,錢包授權
414,比特幣/加密貨幣詐騙,場外交易 (OTC)
415,比特幣/加密貨幣詐騙,假交易所APP
416,比特幣/加密貨幣詐騙,無法提幣
417,比特幣/加密貨幣詐騙,質押 (Staking)
418,比特幣/加密貨幣詐騙,帶單老師
419,比特幣/加密貨幣詐騙,合約交易
420,比特幣/加密貨幣詐騙,槓桿
421,比特幣/加密貨幣詐騙,幣商
422,比特幣/加密貨幣詐騙,錢包地址
423,比特幣/加密貨幣詐騙,智能合約
424,比特幣/加密貨幣詐騙,GameFi (邊玩邊賺)
425,比特幣/加密貨幣詐騙,私鑰
426,比特幣/加密貨幣詐騙,助記詞
427,比特幣/加密貨幣詐騙,雲端挖礦
428,比特幣/加密貨幣詐騙,項目白皮書
429,比特幣/加密貨幣詐騙,新幣發行
430,比特幣/加密貨幣詐騙,提幣需要手續費
431,比特幣/加密貨幣詐騙,空投 (Airdrop)
432,比特幣/加密貨幣詐騙,DeFi (去中心化金融)
433,比特幣/加密貨幣詐騙,冷錢包
434,比特幣/加密貨幣詐騙,平台轉移
435,比特幣/加密貨幣詐騙,只漲不跌
436,比特幣/加密貨幣詐騙,儲值
437,比特幣/加密貨幣詐騙,穩健獲利
438,比特幣/加密貨幣詐騙,保證翻倍
439,比特幣/加密貨幣詐騙,避免追蹤
440,比特幣/加密貨幣詐騙,高額返利
441,電商業者個資外洩,假冒蝦皮
442,電商業者個資外洩,假冒momo
443,電商業者個資外洩,假冒PChome
444,電商業者個資外洩,假冒博客來
445,電商業者個資外洩,核對您的訂單
446,電商業者個資外洩,誤訂多筆商品
447,電商業者個資外洩,付款方式設定錯誤
448,電商業者個資外洩,訂單重複
449,電商業者個資外洩,升級成高級會員
450,電商業者個資外洩,這是我們的疏失
451,電商業者個資外洩,造成您的不便
452,電商業者個資外洩,將有銀行與您聯繫
453,電商業者個資外洩,核對身分證字號
454,電商業者個資外洩,網路購物
455,電商業者個資外洩,確認購買商品
456,電商業者個資外洩,賣家
457,電商業者個資外洩,宅配
458,電商業者個資外洩,黑貓宅急便
459,電商業者個資外洩,訂單編號
460,電商業者個資外洩,取消訂單
461,其它類型詐騙,點讚賺錢
462,其它類型詐騙,家庭代工 (串珠、貼紙)
463,其它類型詐騙,購買材料包
464,其它類型詐騙,假冒名人/網紅
465,其它類型詐騙,領取免費貼圖
466,其它類型詐騙,股票申購抽籤
467,其它類型詐騙,互加LINE好友
468,其它類型詐騙,慈善捐款
469,其它類型詐騙,假冒租屋
470,其它類型詐騙,預付訂金
471,其它類型詐騙,寵物買賣
472,其它類型詐騙,疫苗預約
473,其它類型詐騙,疫情補助
474,其它類型詐騙,假問卷
475,其它類型詐騙,假投票
476,其它類型詐騙,點擊廣告
477,其它類型詐騙,觀看影片賺錢
478,其它類型詐騙,任務
479,其它類型詐騙,邀請碼
480,其它類型詐騙,假冒客服
481,其它類型詐騙,代辦退稅
482,其它類型詐騙,演唱會門票
483,其它類型詐騙,黃牛票
484,其它類型詐騙,假冒律師
485,其它類型詐騙,協助討回被騙款項
486,其它類型詐騙,駭客服務
487,其它類型詐騙,假的技術支援
488,其它類型詐騙,你的電腦有病毒
489,其它類型詐騙,領取紓困金
490,其它類型詐騙,訂閱服務
491,其它類型詐騙,健檢中心
492,其它類型詐騙,宗教靈修
493,其它類型詐騙,改運
494,其它類型詐騙,假車禍
495,其它類型詐騙,extortion (恐嚇取財)
496,其它類型詐騙,停車費未繳
497,其它類型詐騙,假冒房東
498,其它類型詐騙,共享單車驗證
499,其它類型詐騙,求籤問卜
500,其它類型詐騙,影視投資
